word,label
fitness,1
tiger,0
в,0
de,0
new,0
magix,0
en,0
review,0
dead,0
con,0
как,0
mehndi,1
el,0
card,0
daylight,0
la,0
video,0
tutorial,1
day,0
training,1
music,0
design,1
part,0
machine,0
love,0
full,0
live,0
часов,0
майнкрафте,0
tv,0
игре,0
back,0
tu,0
show,0
на,0
reading,1
life,0
marc,0
lobliner,0
и,0
best,0
vs,0
free,0
pro,0
ask,0
майнкрафт,0
easy,0
casa,0
sbs,0
time,1
one,0
стрим,0
tarot,0
за,0
minecraft,0
big,0
honor,0
reactions,0
guitar,0
rich,0
gamers,0
без,1
world,0
week,0
vlog,0
x,0
trick,1
get,0
remix,0
php,0
first,0
cardio,1
online,0
stage,0
jazz,0
deluxe,0
protein,0
модов,0
los,0
kombat,0
gta,0
maker,1
feat,1
top,0
may,0
severson,0
del,1
scooter,0
beat,0
studio,0
ep,0
learn,0
workout,1
chest,1
mortal,0
stamp,0
type,0
ios,0
make,0
honda,0
kit,0
update,0
gameplay,0
official,0
reaction,0
says,0
demo,0
cancer,0
crossout,0
september,0
july,0
leo,1
nutrition,0
ideas,0
играть,0
inkigayo,0
cover,0
simon,0
trailer,0
motorcycles,0
year,0
june,0
es,0
family,0
malaysia,0
super,0
black,0
around,0
scope,0
vivo,0
april,0
fat,0
gemini,0
aries,0
virgo,0
mnet,0
hd,0
taurus,0
red,0
episode,0
like,0
su,0
audio,0
libra,0
special,0
comeback,0
unboxing,0
august,0
high,0
money,0
scorpio,0
pisces,1
look,1
confessions,0
превращения,0
glitch,0
designer,0
using,0
real,0
ahead,0
walk,0
html,1
aquarius,1
haul,0
lesson,0
javascript,0
need,0
mrr,0
school,1
para,0
iphone,0
food,0
tricks,0
mts,0
ловить,0
wwe,0
test,0
dinner,0
grado,0
october,0
capricorn,0
van,1
q,1
f,0
tour,0
camper,0
bmw,0
premium,0
plus,0
movie,0
thunder,0
neurofrases,0
насекомых,0
nado,0
джакс,0
wayne,0
изогнутый,0
airborne,0
suscriptores,0
dortmund,0
marathon,0
пазлы,0
videocassette,0
coloreado,1
bridges,0
burnt,0
sides,0
barrera,0
yah,0
midge,0
cool,0
doors,0
snap,0
estúpida,0
une,0
unstable,0
penang,0
sexytime,0
include,0
спинозавра,0
yessssssss,0
blessingsintests,0
комнату,0
jackie,0
xfactor,0
antuan,0
tch,0
aqaurius,0
двоится,0
knee,0
titties,0
niel,0
jugr,0
tuvo,0
fight,0
korea,0
sfity,0
pellicer,0
wont,0
anything,0
puedo,0
анечке,0
краткий,0
rough,0
ocampo,0
bloomdaddies,0
eveline,0
buns,0
tamaulipas,0
sweden,0
mitchy,1
bennys,0
refrigerator,0
steakhouse,0
ступу,0
efficacy,0
батл,0
piece,0
pantone,0
nagurus,0
faa,0
starts,0
aparece,0
rita,0
dealership,0
hysteria,0
сурв,0
coordinating,0
seguridad,0
контрится,0
revelia,0
wheat,0
морском,0
swolly,0
nessa,0
коалу,0
items,0
блоках,0
комбат,0
